	Start	Marker
280	11386029988	12.0
281	11386230104	2.0
282	11386431265	6.0
283	11386629099	3.0
284	11386830313	11.0
285	11387030399	0.0
286	11387230576	8.0
287	11387430923	4.0
288	11387630869	6.0
289	11387829115	3.0
290	11388030924	9.0
291	11388231336	7.0
292	11388431318	4.0
293	11388631247	12.0
294	11388832825	5.0
295	11389031495	10.0
296	11389232199	2.0
297	11389433127	11.0
298	11389631223	1.0
299	11389831385	8.0
300	11390031457	0.0
301	11390232368	10.0
302	11390431696	1.0
303	11390631993	12.0
304	11390831739	8.0
305	11391032799	4.0
306	11391233142	11.0
307	11391432236	5.0
308	11391632364	7.0
309	11391832387	0.0
310	11392033469	12.0
311	11392234381	2.0
312	11392432806	10.0
313	11392633153	0.0
314	11392832980	11.0
315	11393034039	5.0
316	11395217732	7.0
317	11396562539	888.0
318	11397587079	777.0
319	11397789171	10.0
320	11397987188	2.0
321	11398187220	7.0
322	11398388712	4.0
323	11398588964	8.0
324	11398788944	3.0
325	11398988956	11.0
326	11399188969	0.0
327	11399389282	6.0
328	11399589385	5.0
329	11399789306	7.0
330	11399989477	4.0
331	11400189827	11.0
332	11400390020	12.0
333	11400588885	5.0
334	11400790088	8.0
335	11400990402	3.0
336	11401190207	12.0
337	11401390195	0.0
338	11401592057	9.0
339	11401789519	2.0
340	11401990882	11.0
341	11402190632	1.0
342	11402392164	6.0
343	11402590190	0.0
344	11402791092	12.0
345	11402991475	10.0
346	11403191260	3.0
347	11403391437	6.0
348	11403590213	1.0
349	11403793181	11.0
350	11403991850	2.0
351	11404193512	12.0
352	11404392024	3.0
353	11404592195	10.0
354	11404792347	2.0
355	11404991580	11.0
356	11405193745	1.0
357	11405393615	10.0
358	11405591739	9.0
359	11405792199	4.0
360	11405994043	6.0
361	11406194249	0.0
362	11406393917	12.0
363	11406594584	5.0
364	11406794609	11.0
365	11406994719	3.0
366	11407192853	8.0
367	11407395159	5.0
368	11407593215	10.0
369	11407795309	3.0
370	11407993616	7.0
371	11408196628	9.0
372	11408394736	2.0
373	11408594877	8.0
374	11408795224	0.0
375	11408996954	9.0
376	11409195306	5.0
377	11409395303	11.0
378	11409595507	4.0
379	11409795501	7.0
380	11409995523	5.0
381	11410195853	12.0
382	11410395750	1.0
383	11410595966	6.0
